,question_id,bundle_id,correct_answer,part,tags,tag_0,tag_1,tag_2,tag_3,tag_4,tag_5,tag,tag_num,c_rate,id,num,c_num,tag_group
31,31,31,1,1,131 40 162 81,131,40,162,81,-1,-1,"['131', '40', '162', '81']",4,0.8572703667640377,31,12324,10565,0
32,32,32,3,1,131 104 162 92,131,104,162,92,-1,-1,"['131', '104', '162', '92']",4,0.8626984126984127,32,8820,7609,0
33,33,33,0,1,131 93 162 38,131,93,162,38,-1,-1,"['131', '93', '162', '38']",4,0.7967708626677931,33,10653,8488,0
34,34,34,1,1,9 10 92,9,10,92,-1,-1,-1,"['9', '10', '92']",3,0.6632193814038112,34,10443,6926,15
35,35,35,0,1,131 5 81,131,5,81,-1,-1,-1,"['131', '5', '81']",3,0.8489337249393436,35,7831,6648,9
36,36,36,3,1,131 149 162 38,131,149,162,38,-1,-1,"['131', '149', '162', '38']",4,0.9074014046461373,36,9255,8398,0
37,37,37,1,1,131 40 81,131,40,81,-1,-1,-1,"['131', '40', '81']",3,0.8322243346007605,37,16832,14008,9
38,38,38,0,1,10 70 162 92,10,70,162,92,-1,-1,"['10', '70', '162', '92']",4,0.9612286002014099,38,7944,7636,0
39,39,39,0,1,10 94 38,10,94,38,-1,-1,-1,"['10', '94', '38']",3,0.5926249328318108,39,29776,17646,15
40,40,40,2,1,131 104 38,131,104,38,-1,-1,-1,"['131', '104', '38']",3,0.8362683156338218,40,7439,6221,2
41,41,41,0,1,131 93 162 81,131,93,162,81,-1,-1,"['131', '93', '162', '81']",4,0.9702755478411803,41,4609,4472,0
42,42,42,1,1,131 130 92,131,130,92,-1,-1,-1,"['131', '130', '92']",3,0.9740384615384615,42,6240,6078,2
43,43,43,2,1,131 13 162 29,131,13,162,29,-1,-1,"['131', '13', '162', '29']",4,0.9284388772906518,43,8622,8005,9
44,44,44,2,1,9 10 38,9,10,38,-1,-1,-1,"['9', '10', '38']",3,0.9256209323947403,44,7529,6969,15
45,45,45,1,1,10 164 162 81,10,164,162,81,-1,-1,"['10', '164', '162', '81']",4,0.6872171020341387,45,36674,25203,0
46,46,46,2,1,131 104 162 92,131,104,162,92,-1,-1,"['131', '104', '162', '92']",4,0.9181144781144781,46,7425,6817,0
47,47,47,2,1,9 10 29,9,10,29,-1,-1,-1,"['9', '10', '29']",3,0.7496176980324192,47,9809,7353,15
48,48,48,3,1,9 10 162 92,9,10,162,92,-1,-1,"['9', '10', '162', '92']",4,0.833555906276557,48,8237,6866,0
49,49,49,2,1,10 164 162 81,10,164,162,81,-1,-1,"['10', '164', '162', '81']",4,0.7100782328578003,49,2173,1543,0
50,50,50,3,1,131 101 38,131,101,38,-1,-1,-1,"['131', '101', '38']",3,0.9183683005467034,50,21401,19654,2
51,51,51,0,1,131 187 81,131,187,81,-1,-1,-1,"['131', '187', '81']",3,0.9297299539552827,51,24107,22413,2
52,52,52,3,1,131 99 92,131,99,92,-1,-1,-1,"['131', '99', '92']",3,0.7899534646522598,52,31374,24784,2
53,53,53,0,1,131 149 162 29,131,149,162,29,-1,-1,"['131', '149', '162', '29']",4,0.8418120376290072,53,10949,9217,0
54,54,54,2,1,9 10 38,9,10,38,-1,-1,-1,"['9', '10', '38']",3,0.7113684210526315,54,9500,6758,15
55,55,55,3,1,131 36 162 81,131,36,162,81,-1,-1,"['131', '36', '162', '81']",4,0.6018243844556511,55,40452,24345,0
56,56,56,1,1,61 110 162 92,61,110,162,92,-1,-1,"['61', '110', '162', '92']",4,0.7188802357398443,56,23755,17077,0
57,57,57,0,1,131 93 162 29,131,93,162,29,-1,-1,"['131', '93', '162', '29']",4,0.9046039538277829,57,7537,6818,0
58,58,58,0,1,10 164 92,10,164,92,-1,-1,-1,"['10', '164', '92']",3,0.38172563556391603,58,36149,13799,15
59,59,59,1,1,131 101 162 81,131,101,162,81,-1,-1,"['131', '101', '162', '81']",4,0.8541954181617444,59,14492,12379,0
60,60,60,3,1,9 10 38,9,10,38,-1,-1,-1,"['9', '10', '38']",3,0.8103461748847386,60,12797,10370,15
61,61,61,3,1,10 164 102,10,164,102,-1,-1,-1,"['10', '164', '102']",3,0.7614761955479816,61,18778,14299,15
62,62,62,0,1,131 104 102,131,104,102,-1,-1,-1,"['131', '104', '102']",3,0.6710966931770616,62,19112,12826,2
63,63,63,2,1,131 149 38,131,149,38,-1,-1,-1,"['131', '149', '38']",3,0.7385140105664415,63,14953,11043,2
64,64,64,0,1,131 111 92,131,111,92,-1,-1,-1,"['131', '111', '92']",3,0.6800774345593805,64,35643,24240,2
65,65,65,2,1,131 36 102,131,36,102,-1,-1,-1,"['131', '36', '102']",3,0.8734177215189873,65,22989,20079,9
66,66,66,3,1,131 104 38,131,104,38,-1,-1,-1,"['131', '104', '38']",3,0.9375097155293021,66,6433,6031,2
67,67,67,0,1,131 187 102,131,187,102,-1,-1,-1,"['131', '187', '102']",3,0.905933762649494,67,8696,7878,2
68,68,68,2,1,51 131 102,51,131,102,-1,-1,-1,"['51', '131', '102']",3,0.9446395953351131,68,7117,6723,15
69,69,69,2,1,9 10 38,9,10,38,-1,-1,-1,"['9', '10', '38']",3,0.49327737070498684,69,14057,6934,15
70,70,70,0,1,51 131 162 38,51,131,162,38,-1,-1,"['51', '131', '162', '38']",4,0.9674162459843965,70,6537,6324,0
71,71,71,1,1,131 101 162 81,131,101,162,81,-1,-1,"['131', '101', '162', '81']",4,0.811134523677498,71,9017,7314,0
72,72,72,0,1,131 93 162 92,131,93,162,92,-1,-1,"['131', '93', '162', '92']",4,0.7436131983012088,72,15305,11381,0
73,73,73,1,1,131 93 162 29,131,93,162,29,-1,-1,"['131', '93', '162', '29']",4,0.850568489442339,73,7388,6284,0
74,74,74,0,1,9 10 38,9,10,38,-1,-1,-1,"['9', '10', '38']",3,0.26904487917146147,74,4345,1169,17
75,75,75,1,1,131 5 81,131,5,81,-1,-1,-1,"['131', '5', '81']",3,0.8390716092839071,75,9091,7628,9
76,76,76,3,1,10 94 92,10,94,92,-1,-1,-1,"['10', '94', '92']",3,0.5926619529906364,76,26165,15507,15
77,77,77,2,1,10 164 29,10,164,29,-1,-1,-1,"['10', '164', '29']",3,0.6995323036763106,77,18388,12863,15
78,78,78,1,1,131 104 92,131,104,92,-1,-1,-1,"['131', '104', '92']",3,0.8400335647265238,78,13109,11012,2
79,79,79,2,1,131 36 162 81,131,36,162,81,-1,-1,"['131', '36', '162', '81']",4,0.913629272443625,79,7051,6442,0
80,80,80,0,1,9 10 38,9,10,38,-1,-1,-1,"['9', '10', '38']",3,0.8261323003575686,80,6712,5545,15
81,81,81,1,1,131 5 102,131,5,102,-1,-1,-1,"['131', '5', '102']",3,0.8335625859697386,81,5089,4242,9
82,82,82,2,1,9 10 102,9,10,102,-1,-1,-1,"['9', '10', '102']",3,0.7622277757943592,82,2801,2135,15
83,83,83,3,1,61 110 38,61,110,38,-1,-1,-1,"['61', '110', '38']",3,0.7950434641758004,83,18521,14725,15
84,84,84,2,1,131 36 92,131,36,92,-1,-1,-1,"['131', '36', '92']",3,0.8384321223709369,84,8368,7016,9
85,85,85,1,1,131 13 102,131,13,102,-1,-1,-1,"['131', '13', '102']",3,0.7435396175697966,85,16369,12171,9
86,86,86,0,1,10 70 38,10,70,38,-1,-1,-1,"['10', '70', '38']",3,0.7474904105117114,86,12253,9159,15
87,87,87,1,1,131 111 102,131,111,102,-1,-1,-1,"['131', '111', '102']",3,0.9206374758531873,87,6212,5719,2
88,88,88,1,1,131 101 102,131,101,102,-1,-1,-1,"['131', '101', '102']",3,0.5743617021276596,88,18800,10798,11
89,89,89,1,1,131 36 38,131,36,38,-1,-1,-1,"['131', '36', '38']",3,0.9208596529441662,89,13773,12683,12
90,90,90,2,1,131 93 162 38,131,93,162,38,-1,-1,"['131', '93', '162', '38']",4,0.9621258399511301,90,4911,4725,0
91,91,91,1,1,131 104 81,131,104,81,-1,-1,-1,"['131', '104', '81']",3,0.8946410850148859,91,6046,5409,2
92,92,92,3,1,131 187 92,131,187,92,-1,-1,-1,"['131', '187', '92']",3,0.7904967602591793,92,2778,2196,2
93,93,93,3,1,51 131 162 29,51,131,162,29,-1,-1,"['51', '131', '162', '29']",4,0.9414502694757472,93,8164,7686,0
94,94,94,2,1,131 5 162 38,131,5,162,38,-1,-1,"['131', '5', '162', '38']",4,0.9285714285714286,94,5684,5278,9
95,95,95,3,1,9 10 81,9,10,81,-1,-1,-1,"['9', '10', '81']",3,0.7293013555787279,95,9590,6994,15
96,96,96,2,1,9 10 92,9,10,92,-1,-1,-1,"['9', '10', '92']",3,0.7939760906691508,96,6441,5114,15
97,97,97,1,1,131 93 162 29,131,93,162,29,-1,-1,"['131', '93', '162', '29']",4,0.8986458760771441,97,7311,6570,0
98,98,98,1,1,10 178 162 81,10,178,162,81,-1,-1,"['10', '178', '162', '81']",4,0.7605283923196072,98,34217,26023,0
99,99,99,3,1,131 187 38,131,187,38,-1,-1,-1,"['131', '187', '38']",3,0.9501528332941453,99,8506,8082,2
100,100,100,0,1,131 5 81,131,5,81,-1,-1,-1,"['131', '5', '81']",3,0.35356817886390224,100,15386,5440,11
101,101,101,3,1,131 187 162 92,131,187,162,92,-1,-1,"['131', '187', '162', '92']",4,0.8040062843676355,101,2546,2047,0
102,102,102,3,1,131 104 29,131,104,29,-1,-1,-1,"['131', '104', '29']",3,0.8475278651043155,102,6998,5931,2
103,103,103,0,1,9 10 38,9,10,38,-1,-1,-1,"['9', '10', '38']",3,0.6591945004856908,103,13383,8822,15
104,104,104,2,1,131 93 162 81,131,93,162,81,-1,-1,"['131', '93', '162', '81']",4,0.8765270912990768,104,21446,18798,0
105,105,105,1,1,131 104 29,131,104,29,-1,-1,-1,"['131', '104', '29']",3,0.7485140797037904,105,10263,7682,2
106,106,106,2,1,10 70 162 92,10,70,162,92,-1,-1,"['10', '70', '162', '92']",4,0.8616941928609483,106,9385,8087,0
107,107,107,1,1,10 70 81,10,70,81,-1,-1,-1,"['10', '70', '81']",3,0.6475305729941576,107,27557,17844,15
108,108,108,3,1,131 104 92,131,104,92,-1,-1,-1,"['131', '104', '92']",3,0.8459405940594059,108,20200,17088,2
109,109,109,3,1,131 111 81,131,111,81,-1,-1,-1,"['131', '111', '81']",3,0.9748249100889647,109,5283,5150,2
110,110,110,1,1,131 13 38,131,13,38,-1,-1,-1,"['131', '13', '38']",3,0.6241089905725454,110,34792,21714,12
111,111,111,0,1,131 101 162 81,131,101,162,81,-1,-1,"['131', '101', '162', '81']",4,0.852669446488431,111,12231,10429,0
112,112,112,2,1,131 101 92,131,101,92,-1,-1,-1,"['131', '101', '92']",3,0.9537109887227905,112,7626,7273,2
113,113,113,0,1,10 70 162 38,10,70,162,38,-1,-1,"['10', '70', '162', '38']",4,0.8983389402859546,113,9512,8545,15
114,114,114,1,1,131 36 92,131,36,92,-1,-1,-1,"['131', '36', '92']",3,0.6672558961715588,114,21497,14344,9
115,115,115,1,1,131 130 162 81,131,130,162,81,-1,-1,"['131', '130', '162', '81']",4,0.9786661885980639,115,5578,5459,0
116,116,116,0,1,10 70 38,10,70,38,-1,-1,-1,"['10', '70', '38']",3,0.7917414721723519,116,2228,1764,15
117,117,117,2,1,131 101 162 81,131,101,162,81,-1,-1,"['131', '101', '162', '81']",4,0.9341038926531154,117,7527,7031,0
118,118,118,2,1,131 104 38,131,104,38,-1,-1,-1,"['131', '104', '38']",3,0.9054752987337257,118,11214,10154,2
119,119,119,0,1,51 131 102,51,131,102,-1,-1,-1,"['51', '131', '102']",3,0.8811870914184913,119,9637,8492,15
120,120,120,3,1,61 110 102,61,110,102,-1,-1,-1,"['61', '110', '102']",3,0.8435976960567124,120,20313,17136,15
121,121,121,2,1,131 5 38,131,5,38,-1,-1,-1,"['131', '5', '38']",3,0.79514687100894,121,11745,9339,12
122,122,122,1,1,10 164 92,10,164,92,-1,-1,-1,"['10', '164', '92']",3,0.6844116601493068,122,22504,15402,15
123,123,123,0,1,61 110 102,61,110,102,-1,-1,-1,"['61', '110', '102']",3,0.788844424682575,123,20241,15967,15
124,124,124,1,1,9 10 38,9,10,38,-1,-1,-1,"['9', '10', '38']",3,0.7483529890199268,124,12295,9201,15
125,125,125,3,1,131 36 102,131,36,102,-1,-1,-1,"['131', '36', '102']",3,0.7673969803609945,125,8809,6760,9
126,126,126,0,1,9 10 102,9,10,102,-1,-1,-1,"['9', '10', '102']",3,0.8576163513326889,126,14482,12420,15
127,127,127,0,1,131 13 38,131,13,38,-1,-1,-1,"['131', '13', '38']",3,0.9078792167964143,127,8478,7697,12
128,128,128,0,1,131 149 92,131,149,92,-1,-1,-1,"['131', '149', '92']",3,0.9668688516234263,128,19619,18969,2
129,129,129,2,1,9 10 81,9,10,81,-1,-1,-1,"['9', '10', '81']",3,0.7687011919441019,129,9732,7481,15
130,130,130,3,1,131 99 38,131,99,38,-1,-1,-1,"['131', '99', '38']",3,0.768294501953999,130,33521,25754,2
131,131,131,1,1,131 111 162 81,131,111,162,81,-1,-1,"['131', '111', '162', '81']",4,0.8605108055009824,131,14252,12264,0
132,132,132,0,1,131 5 162 92,131,5,162,92,-1,-1,"['131', '5', '162', '92']",4,0.8899374923397475,132,8159,7261,0
133,133,133,0,1,131 93 38,131,93,38,-1,-1,-1,"['131', '93', '38']",3,0.867003367003367,133,7128,6180,2
134,134,134,2,1,131 104 92,131,104,92,-1,-1,-1,"['131', '104', '92']",3,0.4280798721179116,134,36909,15800,11
135,135,135,3,1,131 40 162 81,131,40,162,81,-1,-1,"['131', '40', '162', '81']",4,0.9228652664404292,135,10903,10062,0
136,136,136,0,1,131 93 38,131,93,38,-1,-1,-1,"['131', '93', '38']",3,0.8687848976336081,136,7522,6535,2
137,137,137,3,1,10 70 162 81,10,70,162,81,-1,-1,"['10', '70', '162', '81']",4,0.9335378323108384,137,978,913,0
138,138,138,1,1,131 101 92,131,101,92,-1,-1,-1,"['131', '101', '92']",3,0.8483128834355829,138,13040,11062,2
139,139,139,2,1,131 130 162 38,131,130,162,38,-1,-1,"['131', '130', '162', '38']",4,0.8039011402442554,139,17277,13889,0
140,140,140,0,1,131 149 92,131,149,92,-1,-1,-1,"['131', '149', '92']",3,0.8738553541394132,140,10702,9352,2
141,141,141,2,1,131 111 81,131,111,81,-1,-1,-1,"['131', '111', '81']",3,0.8805037586644537,141,10243,9019,2
142,142,142,3,1,10 94 38,10,94,38,-1,-1,-1,"['10', '94', '38']",3,0.7801824360579502,142,16773,13086,15
143,143,143,2,1,131 104 81,131,104,81,-1,-1,-1,"['131', '104', '81']",3,0.8172914555893279,143,8883,7260,2
144,144,144,0,1,131 13 92,131,13,92,-1,-1,-1,"['131', '13', '92']",3,0.7010930372665461,144,23238,16292,9
145,145,145,0,1,9 10 162 38,9,10,162,38,-1,-1,"['9', '10', '162', '38']",4,0.8261600537995964,145,8922,7371,15
146,146,146,0,1,10 164 92,10,164,92,-1,-1,-1,"['10', '164', '92']",3,0.7029192902117917,146,1747,1228,15
147,147,147,3,1,131 101 81,131,101,81,-1,-1,-1,"['131', '101', '81']",3,0.9601328903654485,147,903,867,2
148,148,148,0,1,131 13 38,131,13,38,-1,-1,-1,"['131', '13', '38']",3,0.8297672832665587,148,11731,9734,12
149,149,149,2,1,131 93 81,131,93,81,-1,-1,-1,"['131', '93', '81']",3,0.580189468751046,149,29873,17332,11
150,150,150,2,1,9 10 38,9,10,38,-1,-1,-1,"['9', '10', '38']",3,0.7905759162303665,150,8977,7097,15
151,151,151,3,1,131 93 162 92,131,93,162,92,-1,-1,"['131', '93', '162', '92']",4,0.9284207353827607,151,6636,6161,0
152,152,152,1,1,131 5 162 81,131,5,162,81,-1,-1,"['131', '5', '162', '81']",4,0.8825706895013826,152,22422,19789,0
153,153,153,0,1,10 178 38,10,178,38,-1,-1,-1,"['10', '178', '38']",3,0.7437225266453905,153,16607,12351,15
154,154,154,3,1,10 70 81,10,70,81,-1,-1,-1,"['10', '70', '81']",3,0.8732758620689656,154,1160,1013,15
155,155,155,1,1,131 104 92,131,104,92,-1,-1,-1,"['131', '104', '92']",3,0.8947527141133896,155,6632,5934,2
156,156,156,2,1,131 101 162 38,131,101,162,38,-1,-1,"['131', '101', '162', '38']",4,0.9318899213088516,156,22493,20961,0
157,157,157,3,1,131 5 38,131,5,38,-1,-1,-1,"['131', '5', '38']",3,0.5659967409016838,157,33138,18756,11
158,158,158,1,1,131 149 102,131,149,102,-1,-1,-1,"['131', '149', '102']",3,0.9458901280462618,158,4842,4580,2
159,159,159,2,1,131 5 102,131,5,102,-1,-1,-1,"['131', '5', '102']",3,0.61391422839623,159,26419,16219,11
160,160,160,2,1,131 93 38,131,93,38,-1,-1,-1,"['131', '93', '38']",3,0.8813236972232789,160,5258,4634,2
161,161,161,0,1,131 40 92,131,40,92,-1,-1,-1,"['131', '40', '92']",3,0.914353752668747,161,12178,11135,9
162,162,162,1,1,9 10 102,9,10,102,-1,-1,-1,"['9', '10', '102']",3,0.8686171680927408,162,7246,6294,15
163,163,163,3,1,10 70 38,10,70,38,-1,-1,-1,"['10', '70', '38']",3,0.955806508980971,163,11246,10749,15
164,164,164,0,1,61 110 102,61,110,102,-1,-1,-1,"['61', '110', '102']",3,0.7305826696209354,164,16699,12200,15
165,165,165,3,1,10 178 102,10,178,102,-1,-1,-1,"['10', '178', '102']",3,0.6512336823985081,165,27884,18159,15
166,166,166,1,1,131 93 38,131,93,38,-1,-1,-1,"['131', '93', '38']",3,0.8731397648038297,166,9609,8390,2
167,167,167,2,1,131 130 162 38,131,130,162,38,-1,-1,"['131', '130', '162', '38']",4,0.9514771161793969,167,6533,6216,0
168,168,168,3,1,131 187 162 81,131,187,162,81,-1,-1,"['131', '187', '162', '81']",4,0.9268221003134797,168,10208,9461,0
169,169,169,0,1,131 149 92,131,149,92,-1,-1,-1,"['131', '149', '92']",3,0.8195153061224489,169,7840,6425,2
170,170,170,2,1,131 149 29,131,149,29,-1,-1,-1,"['131', '149', '29']",3,0.7267669743330383,170,15818,11496,2
171,171,171,1,1,131 93 38,131,93,38,-1,-1,-1,"['131', '93', '38']",3,0.759233926128591,171,23392,17760,2
172,172,172,1,1,10 164 81,10,164,81,-1,-1,-1,"['10', '164', '81']",3,0.46138678935261257,172,30430,14040,15
173,173,173,1,1,10 70 92,10,70,92,-1,-1,-1,"['10', '70', '92']",3,0.7856439435386804,173,18278,14360,15
174,174,174,0,1,10 164 29,10,164,29,-1,-1,-1,"['10', '164', '29']",3,0.8486204872321691,174,13628,11565,15
175,175,175,2,1,9 10 92,9,10,92,-1,-1,-1,"['9', '10', '92']",3,0.35996957025645737,175,195861,70504,15
176,176,176,0,1,9 10 81,9,10,81,-1,-1,-1,"['9', '10', '81']",3,0.5045097657517358,176,15411,7775,15
177,177,177,2,1,131 149 81,131,149,81,-1,-1,-1,"['131', '149', '81']",3,0.9289243633599392,177,5262,4888,2
178,178,178,3,1,131 93 162 92,131,93,162,92,-1,-1,"['131', '93', '162', '92']",4,0.9474602897538837,178,5729,5428,0
179,179,179,0,1,131 36 29,131,36,29,-1,-1,-1,"['131', '36', '29']",3,0.8990685388572223,179,7193,6467,12
180,180,180,2,1,131 149 38,131,149,38,-1,-1,-1,"['131', '149', '38']",3,0.6523929471032746,180,21438,13986,2
181,181,181,0,1,131 104 81,131,104,81,-1,-1,-1,"['131', '104', '81']",3,0.7576754385964912,181,9120,6910,2
182,182,182,2,1,131 36 162 92,131,36,162,92,-1,-1,"['131', '36', '162', '92']",4,0.8369047619047619,182,11760,9842,0
183,183,183,1,1,61 110 162 29,61,110,162,29,-1,-1,"['61', '110', '162', '29']",4,0.7306887336188299,183,31057,22693,0
184,184,184,1,1,10 94 92,10,94,92,-1,-1,-1,"['10', '94', '92']",3,0.8088425002931864,184,17054,13794,15
185,185,185,0,1,131 111 81,131,111,81,-1,-1,-1,"['131', '111', '81']",3,0.6082215656683742,185,47047,28615,11
186,186,186,1,1,131 104 38,131,104,38,-1,-1,-1,"['131', '104', '38']",3,0.6920777279521674,186,24753,17131,2
187,187,187,3,1,131 99 102,131,99,102,-1,-1,-1,"['131', '99', '102']",3,0.8791509548716702,187,32884,28910,2
188,188,188,0,1,131 5 102,131,5,102,-1,-1,-1,"['131', '5', '102']",3,0.8629000395100751,188,10124,8736,9
189,189,189,1,1,9 10 38,9,10,38,-1,-1,-1,"['9', '10', '38']",3,0.38525368049641073,189,41095,15832,17
190,190,190,0,1,131 104 92,131,104,92,-1,-1,-1,"['131', '104', '92']",3,0.9097723865340057,190,7337,6675,2
191,191,191,2,1,131 40 102,131,40,102,-1,-1,-1,"['131', '40', '102']",3,0.7539997493629642,191,23939,18050,9
192,192,192,1,1,131 104 38,131,104,38,-1,-1,-1,"['131', '104', '38']",3,0.9434271658923203,192,7318,6904,2
193,193,193,2,1,10 70 102,10,70,102,-1,-1,-1,"['10', '70', '102']",3,0.8764993336294981,193,20259,17757,15
194,194,194,3,1,61 110 102,61,110,102,-1,-1,-1,"['61', '110', '102']",3,0.6746349715099715,194,22464,15155,15
195,195,195,0,1,10 164 38,10,164,38,-1,-1,-1,"['10', '164', '38']",3,0.8244673812359402,195,15114,12461,15
196,196,196,1,2,143 30 38 92,143,30,38,92,-1,-1,"['143', '30', '38', '92']",4,0.9109447004608295,196,8680,7907,18
197,197,197,1,2,90 100 92 102,90,100,92,102,-1,-1,"['90', '100', '92', '102']",4,0.7561741767764298,197,9232,6981,5
198,198,198,0,2,143 176 92 29,143,176,92,29,-1,-1,"['143', '176', '92', '29']",4,0.7894736842105263,198,8170,6450,2
199,199,199,3,2,143 140 6 38 102,143,140,6,38,102,-1,"['143', '140', '6', '38', '102']",5,0.4541321448867885,199,66866,30366,4
200,200,200,3,2,2 107 92 29,2,107,92,29,-1,-1,"['2', '107', '92', '29']",4,0.7308875062575985,200,13983,10220,15
201,201,201,1,2,143 114 38 102,143,114,38,102,-1,-1,"['143', '114', '38', '102']",4,0.7869617845408957,201,5783,4551,5
202,202,202,0,2,138 41 92 102,138,41,92,102,-1,-1,"['138', '41', '92', '102']",4,0.652030817563019,202,13369,8717,18
203,203,203,1,2,143 141 38 102,143,141,38,102,-1,-1,"['143', '141', '38', '102']",4,0.8243887277248239,203,9652,7957,5
204,204,204,1,2,137 142 38 102,137,142,38,102,-1,-1,"['137', '142', '38', '102']",4,0.7421396548187652,204,34127,25327,5
205,205,205,3,2,90 100 92 102,90,100,92,102,-1,-1,"['90', '100', '92', '102']",4,0.9115054648019744,205,8509,7756,5
206,206,206,0,2,143 176 6 38 81,143,176,6,38,81,-1,"['143', '176', '6', '38', '81']",5,0.3773755656108597,206,2210,834,4
207,207,207,3,2,143 30 38 92,143,30,38,92,-1,-1,"['143', '30', '38', '92']",4,0.7972937467157121,207,7612,6069,18
208,208,208,0,2,90 119 38 102,90,119,38,102,-1,-1,"['90', '119', '38', '102']",4,0.6026070379720748,208,19409,11696,5
209,209,209,1,2,100 148 38 102,100,148,38,102,-1,-1,"['100', '148', '38', '102']",4,0.5432208609951407,209,14611,7937,5
210,210,210,0,2,2 107 38 92,2,107,38,92,-1,-1,"['2', '107', '38', '92']",4,0.5367530407191962,210,1891,1015,5
211,211,211,0,2,143 140 69 92 29,143,140,69,92,29,-1,"['143', '140', '69', '92', '29']",5,0.8668191137044631,211,12682,10993,5
212,212,212,1,2,143 69 114 92 102,143,69,114,92,102,-1,"['143', '69', '114', '92', '102']",5,0.8008186592523941,212,12948,10369,4
213,213,213,3,2,90 100 92 102,90,100,92,102,-1,-1,"['90', '100', '92', '102']",4,0.518117048346056,213,19650,10181,5
